Datas,Riad
2021/02/10,113
2021/02/11,99
2021/02/12,129
2021/02/13,118
2021/02/14,100
2021/02/15,106
2021/02/16,71
2021/02/17,62
2021/02/18,143
2021/02/19,102
2021/02/20,110
2021/02/21,101
2021/02/22,91
2021/02/23,126
2021/02/24,115
2021/02/25,119
2021/02/26,130
2021/02/27,134
2021/02/28,110
2021/03/01,119
2021/03/02,109
2021/03/03,129
2021/03/04,123
2021/03/05,120
2021/03/06,129
2021/03/07,109
2021/03/08,140
2021/03/09,107
2021/03/10,145
2021/03/11,137
2021/03/12,119
2021/03/13,121
2021/03/14,106
2021/03/15,120
2021/03/16,108
2021/03/17,118
2021/03/18,123
2021/03/19,120
2021/03/20,140
2021/03/21,144
2021/03/22,137
2021/03/23,151
2021/03/24,136
2021/03/25,184
2021/03/26,178
2021/03/27,179
2021/03/28,192
2021/03/29,197
2021/03/30,200
2021/03/31,208
2021/04/01,239
2021/04/02,275
2021/04/03,274
2021/04/04,251
2021/04/05,309
2021/04/06,296
2021/04/07,326
2021/04/08,314
2021/04/09,329
2021/04/10,325
2021/04/11,324
2021/04/12,334
2021/04/13,391
2021/04/14,389
2021/04/15,343
2021/04/16,317
2021/04/17,320
2021/04/18,349
2021/04/19,396
2021/04/20,307
2021/04/21,331
2021/04/22,351
2021/04/23,390
2021/04/24,338
2021/04/25,321
2021/04/26,361
2021/04/27,394
2021/04/28,339
2021/04/29,362
2021/04/30,333
2021/05/01,296
2021/05/02,319
2021/05/03,321
2021/05/04,332
2021/05/05,300
2021/05/06,353
2021/05/07,289
2021/05/08,322
2021/05/09,301
2021/05/10,293
2021/05/11,320
2021/05/12,341
2021/05/13,223
2021/05/14,223
2021/05/15,201
2021/05/16,249
2021/05/17,287
2021/05/18,311
2021/05/19,321
2021/05/20,314
2021/05/21,284
2021/05/22,281
2021/05/23,302
2021/05/24,321
2021/05/25,294
2021/05/26,312
2021/05/27,331
2021/05/28,285
2021/05/29,238
2021/05/30,272
2021/05/31,322
2021/06/01,262
2021/06/02,259
2021/06/03,179
2021/06/04,254
2021/06/05,188
2021/06/06,141
2021/06/07,194
2021/06/08,182
2021/06/09,225
2021/06/10,189
2021/06/11,162
2021/06/12,174
2021/06/13,159
2021/06/14,186
2021/06/15,225
2021/06/16,163
2021/06/17,178
2021/06/18,239
2021/06/19,158
2021/06/20,212
2021/06/21,236
2021/06/22,121
2021/06/23,129
2021/06/24,163
2021/06/25,253
2021/06/26,183
2021/06/27,213
2021/06/28,288
2021/06/29,248
2021/06/30,178
2021/07/01,202
2021/07/02,131
2021/07/03,143
2021/07/04,193
2021/07/05,203
2021/07/06,215
2021/07/07,299
2021/07/08,285
2021/07/09,229
2021/07/10,183
2021/07/11,302
2021/07/12,285
2021/07/13,286
2021/07/14,298
2021/07/15,228
2021/07/16,225
2021/07/17,198
2021/07/18,298
2021/07/19,323
2021/07/20,298
2021/07/21,223
2021/07/22,225
2021/07/23,203
2021/07/24,238
2021/07/25,207
2021/07/26,201
2021/07/27,224
2021/07/28,231
2021/07/29,226
2021/07/30,198
2021/07/31,214
2021/08/01,192
2021/08/02,135
2021/08/03,118
2021/08/04,109
2021/08/05,145
2021/08/06,101
2021/08/07,108
2021/08/08,120
2021/08/09,119
2021/08/10,103
2021/08/11,121
2021/08/12,101
2021/08/13,115
2021/08/14,119
2021/08/15,143
2021/08/16,119
2021/08/17,137
2021/08/18,51
2021/08/19,52
2021/08/20,53
2021/08/21,118
2021/08/22,57
2021/08/23,49
2021/08/24,52
2021/08/25,25
2021/08/26,30
2021/08/27,43
2021/08/28,34
2021/08/29,63
2021/08/30,38
2021/08/31,47
2021/09/01,37
2021/09/02,41
2021/09/03,36
2021/09/04,24
2021/09/05,31
2021/09/06,32
2021/09/07,35
2021/09/08,26
2021/09/09,33
2021/09/10,24
2021/09/11,27
2021/09/12,30
2021/09/13,27
2021/09/14,21
2021/09/15,15
2021/09/16,13
2021/09/17,16
2021/09/18,15
2021/09/19,10
2021/09/20,12
2021/09/21,10
2021/09/22,15
2021/09/23,10
2021/09/24,10
2021/09/25,11
2021/09/26,10
2021/09/27,6
2021/09/28,10
2021/09/29,12
2021/09/30,8
2021/10/01,10
2021/10/02,11
2021/10/03,13
2021/10/04,13
2021/10/05,12
2021/10/06,14
2021/10/07,14
2021/10/08,12
2021/10/09,22
2021/10/10,23
2021/10/11,14
2021/10/12,19
2021/10/13,13
2021/10/14,19
2021/10/15,20
2021/10/16,18
2021/10/17,14
2021/10/18,16
2021/10/19,14
2021/10/20,11
2021/10/21,13
2021/10/22,13
2021/10/23,13
2021/10/24,19
2021/10/25,27
2021/10/26,23
2021/10/27,14
2021/10/28,22
2021/10/29,17
2021/10/30,13
2021/10/31,14
2021/11/01,13
2021/11/02,18
2021/11/03,14
2021/11/04,14
2021/11/05,14
2021/11/06,13
2021/11/07,14
2021/11/08,10
2021/11/09,10
2021/11/10,10
2021/11/11,10
2021/11/12,11
2021/11/13,13
2021/11/14,14
2021/11/15,12
2021/11/16,17
2021/11/17,12
2021/11/18,13
2021/11/19,10
2021/11/20,13
2021/11/21,11
2021/11/22,14
2021/11/23,14
2021/11/24,9
2021/11/25,8
2021/11/26,11
2021/11/27,9
2021/11/28,11
2021/11/29,11
2021/11/30,14
2021/12/01,7
2021/12/02,15
2021/12/03,9
2021/12/04,14
2021/12/05,14
2021/12/06,14
