,Datas,Berlim
397,2021/04/17,548.0
398,2021/04/18,401.0
399,2021/04/19,463.0
400,2021/04/20,759.0
401,2021/04/21,1166.0
402,2021/04/22,1135.0
403,2021/04/23,841.0
404,2021/04/24,485.0
405,2021/04/25,198.0
406,2021/04/26,793.0
407,2021/04/27,951.0
408,2021/04/28,1053.0
409,2021/04/29,742.0
410,2021/04/30,616.0
411,2021/05/01,499.0
412,2021/05/02,57.0
413,2021/05/03,550.0
414,2021/05/04,730.0
415,2021/05/05,850.0
416,2021/05/06,596.0
417,2021/05/07,592.0
418,2021/05/08,318.0
419,2021/05/09,79.0
420,2021/05/10,466.0
421,2021/05/11,510.0
422,2021/05/12,707.0
423,2021/05/13,155.0
424,2021/05/14,455.0
425,2021/05/15,173.0
426,2021/05/16,91.0
427,2021/05/17,370.0
428,2021/05/18,382.0
429,2021/05/19,462.0
430,2021/05/20,256.0
431,2021/05/21,281.0
432,2021/05/22,146.0
433,2021/05/23,50.0
434,2021/05/24,76.0
435,2021/05/25,231.0
436,2021/05/26,120.0
437,2021/05/27,281.0
438,2021/05/28,285.0
439,2021/05/29,-22.0
440,2021/05/30,18.0
441,2021/05/31,142.0
442,2021/06/01,196.0
443,2021/06/02,192.0
444,2021/06/03,182.0
445,2021/06/04,159.0
446,2021/06/05,27.0
447,2021/06/06,7.0
448,2021/06/07,104.0
449,2021/06/08,117.0
450,2021/06/09,121.0
451,2021/06/10,90.0
452,2021/06/11,101.0
453,2021/06/12,26.0
454,2021/06/13,6.0
455,2021/06/14,57.0
456,2021/06/15,22.0
457,2021/06/16,63.0
458,2021/06/17,-11.0
459,2021/06/18,48.0
460,2021/06/19,15.0
461,2021/06/20,1.0
462,2021/06/21,41.0
463,2021/06/22,66.0
464,2021/06/23,37.0
465,2021/06/24,55.0
466,2021/06/25,25.0
467,2021/06/26,6.0
468,2021/06/28,22.0
469,2021/06/29,26.0
470,2021/06/30,46.0
471,2021/07/01,16.0
472,2021/07/02,38.0
473,2021/07/03,2.0
474,2021/07/04,3.0
475,2021/07/05,53.0
476,2021/07/06,57.0
477,2021/07/07,52.0
478,2021/07/08,59.0
479,2021/07/09,57.0
480,2021/07/10,2.0
481,2021/07/12,95.0
482,2021/07/13,99.0
483,2021/07/14,137.0
484,2021/07/15,132.0
485,2021/07/16,132.0
486,2021/07/20,251.0
487,2021/07/21,-161.0
